Depth	Intensity	IntensityABS
0.000000	1.070945	1.049676
0.425662	1.381243	1.351969
0.851324	1.552600	1.514398
1.276987	1.557193	1.510683
1.702649	1.688486	1.629655
2.128311	1.814881	1.741657
2.553973	1.718173	1.638537
2.979635	1.839193	1.744003
3.405298	1.925031	1.811589
3.830960	1.945833	1.820292
4.256622	2.011427	1.871444
4.682284	2.358496	2.180891
5.107946	2.281625	2.095948
5.533608	2.276449	2.077970
5.959271	2.022790	1.833543
6.384933	1.882135	1.694725
6.810595	2.102316	1.880138
7.236257	2.111800	1.875805
7.661919	2.245411	1.982416
8.087582	2.265717	1.987228
8.513244	2.286501	1.991041
8.938906	2.970859	2.570495
9.364568	2.288942	1.969440
9.790230	2.331186	1.992118
10.215893	2.441650	2.068536
10.641555	2.417624	2.034259
11.067217	2.539583	2.120751
11.492879	3.178326	2.636753
11.918541	2.536448	2.090524
12.344203	2.619586	2.145309
12.769866	2.643750	2.148726
13.195528	2.699221	2.177594
13.621190	2.431001	1.948442
14.046852	2.341297	1.864790
14.472514	3.100672	2.452449
14.898177	3.303736	2.596763
15.323839	3.183050	2.485962
15.749501	3.007381	2.332959
16.175163	2.679732	2.065228
16.600825	2.637237	2.017205
17.026488	2.729250	2.074025
17.452150	2.796809	2.109949
17.877812	2.432386	1.822520
18.303474	2.385201	1.775545
18.729136	2.529179	1.870449
19.154799	2.400545	1.763808
19.580461	2.387452	1.742085
20.006123	2.419443	1.753217
20.431785	2.603599	1.873607
20.857447	2.787317	1.992077
21.283109	2.826106	2.006969
21.708772	3.640365	2.566379
22.134434	3.210411	2.248775
22.560096	3.258007	2.268965
22.985758	3.149331	2.177417
23.411420	3.080599	2.114240
23.837083	3.129301	2.131822
24.262745	3.035895	2.054268
24.688407	2.860318	1.923540
25.114069	3.247564	2.169111
25.539731	3.243294	2.151028
25.965394	3.158572	2.080463
26.391056	3.450358	2.259333
26.816718	3.409609	2.218655
27.242380	3.071233	1.983781
27.668042	2.871315	1.842046
28.093704	3.113661	1.982866
28.519367	3.262039	2.063063
28.945029	3.428311	2.153843
29.370691	3.280202	2.047471
29.796353	3.180763	1.973336
30.222015	2.820065	1.737282
30.647678	2.985477	1.826549
31.073340	2.890382	1.755854
31.499002	2.945082	1.775765
31.924664	2.999818	1.797552
32.350326	3.178897	1.892369
32.775989	3.062574	1.811591
33.201651	2.908189	1.707534
33.627313	2.878189	1.678932
34.052975	3.228348	1.871427
34.478637	3.126200	1.800675
34.904299	2.923100	1.672329
35.329962	3.230906	1.833334
35.755624	2.949902	1.661277
36.181286	2.920993	1.634352
36.606948	3.486598	1.937913
37.032610	3.236329	1.786890
37.458273	3.190923	1.750179
37.883935	3.124116	1.703418
38.309597	2.855794	1.545370
38.735259	2.797029	1.503677
39.160921	2.767146	1.477283
39.586584	2.582965	1.369712
40.012246	2.703819	1.422839
40.437908	2.989424	1.563246
40.863570	2.908461	1.510211
41.289232	2.746663	1.416829
41.714895	3.279752	1.680733
42.140557	2.884122	1.468738
42.566219	2.818866	1.425235
42.991881	2.652459	1.331687
43.417543	2.585847	1.289996
43.843205	2.982474	1.478347
44.268868	2.926492	1.441553
44.694530	2.996826	1.466314
45.120192	2.897634	1.408531
45.545854	3.093680	1.493895
45.971516	3.039374	1.456912
46.397179	3.153290	1.500778
46.822841	3.055650	1.443539
47.248503	2.978785	1.398280
47.674165	2.527738	1.178766
48.099827	2.737546	1.266550
48.525490	3.045854	1.400314
48.951152	2.701771	1.233187
49.376814	2.726813	1.236867
49.802476	2.922439	1.317006
50.228138	2.927161	1.310236
50.653800	2.994327	1.330954
51.079463	2.832423	1.249926
51.505125	2.836684	1.243857
51.930787	2.740068	1.193319
52.356449	2.645277	1.144986
52.782111	2.622578	1.127846
53.207774	2.447872	1.044932
53.633436	2.622842	1.111026
54.059098	2.766962	1.164244
54.484760	2.851538	1.190862
54.910422	2.456608	1.019442
55.336085	2.510967	1.035093
55.761747	2.479707	1.015763
56.187409	2.342467	0.953451
56.613071	2.362280	0.955285
57.038733	2.201282	0.884034
57.464396	2.102948	0.838665
57.890058	2.241424	0.888063
58.315720	2.072056	0.815821
58.741382	2.249921	0.879719
59.167044	2.222671	0.863497
59.592706	2.216740	0.855430
60.018369	2.237937	0.858005
60.444031	2.308889	0.879133
60.869693	2.343281	0.886018
61.295355	2.108319	0.791374
61.721017	2.166625	0.807021
62.146680	2.042710	0.755360
62.572342	2.099564	0.771276
62.998004	1.988918	0.725919
63.423666	1.955801	0.708744
63.849328	2.069927	0.744765
64.274991	2.113414	0.756139
64.700653	2.119543	0.753059
65.126315	2.110712	0.744618
65.551977	1.968983	0.689621
65.977639	2.122770	0.739000
66.403301	2.065363	0.714576
66.828964	1.886428	0.648128
67.254626	1.865584	0.636654
67.680288	2.267773	0.768756
68.105950	2.075267	0.698694
68.531612	2.082478	0.695824
68.957275	1.871597	0.621255
69.382937	1.766250	0.582512
69.808599	1.814621	0.594790
70.234261	2.084227	0.679038
70.659923	1.709224	0.552814
71.085586	1.736659	0.557489
71.511248	1.804651	0.575315
71.936910	1.850680	0.586365
72.362572	1.837517	0.578255
72.788234	2.248414	0.702760
73.213896	2.174014	0.674916
73.639559	2.025020	0.624371
74.065221	2.331910	0.713718
74.490883	2.495460	0.758779
74.916545	2.416572	0.729628
75.342207	2.454398	0.736589
75.767870	2.888663	0.860193
76.193532	2.318027	0.685242
76.619194	1.848813	0.542947
77.044856	2.014308	0.587570
77.470518	2.192761	0.635950
77.896181	2.192343	0.631156
78.321843	1.961885	0.560991
78.747505	2.006207	0.569653
79.173167	1.731819	0.488671
79.598829	1.513401	0.424416
80.024492	1.624334	0.452218
80.450154	1.768226	0.489192
