Distance	Intensity	IntensityABS
0.000000	26561.874806	22822.993159
0.425662	22523.511587	17863.004167
0.851324	27840.920989	23358.994056
1.276987	21305.462114	17189.991527
1.702649	18311.805331	14244.916466
2.128311	22829.288987	18201.855873
2.553973	21279.847800	16677.647951
2.979635	17865.865536	14075.617201
3.405298	17400.467732	13318.764081
3.830960	14397.593421	11047.030738
4.256622	16494.760037	12935.086765
4.682284	12996.486981	9496.772377
5.107946	10183.071667	7335.740087
5.533608	8481.746942	6055.162968
5.959271	8698.577436	6252.008881
6.384933	7321.407878	5221.849815
6.810595	8128.415700	5704.907735
7.236257	6870.524138	4650.600529
7.661919	5286.960736	3489.532726
8.087582	5390.007871	3603.832804
8.513244	5465.401873	3611.173861
8.938906	5201.690809	3395.160275
9.364568	4343.360384	2707.163622
9.790230	4163.004447	2525.306399
10.215893	3974.712622	2335.634898
10.641555	3727.370696	2168.875978
11.067217	3746.051777	2187.828988
11.492879	3543.723657	2079.107213
11.918541	3431.983717	1951.233726
12.344203	3671.267211	2007.594818
12.769866	3309.099262	1834.108676
13.195528	3599.245701	1908.241998
13.621190	3180.618473	1648.861291
14.046852	2750.086539	1418.213183
14.472514	2932.206354	1540.235876
14.898177	2924.352276	1481.463126
15.323839	2923.599534	1471.165622
15.749501	3019.155829	1522.138351
16.175163	2696.698018	1366.287723
16.600825	2773.215299	1425.964381
17.026488	2286.239887	1172.595771
17.452150	2315.640056	1106.482487
17.877812	2880.989266	1279.448521
18.303474	2779.423464	1280.827858
18.729136	2265.990493	1102.254605
19.154799	2543.843567	1151.309868
19.580461	2387.712181	1145.834989
20.006123	2463.640385	1146.539797
20.431785	1999.362841	949.270234
20.857447	2281.761060	1034.150407
21.283109	2251.379691	981.474726
21.708772	2173.195003	1023.942483
22.134434	1891.581943	838.708129
22.560096	2053.817651	949.191362
22.985758	2187.803786	971.355301
23.411420	2053.441541	865.297453
23.837083	1903.879900	860.553455
24.262745	1744.401415	778.467213
24.688407	2001.914948	885.389392
25.114069	1907.269138	887.447634
25.539731	1963.511900	869.339767
25.965394	1894.401827	866.048280
26.391056	1680.367344	738.190168
26.816718	1750.589134	772.762969
27.242380	1687.109994	735.671425
27.668042	1689.458819	780.454631
28.093704	1568.836357	714.336965
28.519367	1607.591941	718.940111
28.945029	1667.425666	729.238830
29.370691	1689.999476	776.052158
29.796353	1526.012684	668.571272
30.222015	1761.536612	836.517236
30.647678	1473.780922	652.062646
31.073340	1398.911752	621.858269
31.499002	1242.460322	549.993123
31.924664	1325.675011	586.919478
32.350326	1428.922298	673.545627
32.775989	1531.018670	697.607316
33.201651	1629.265665	727.548639
33.627313	1266.854157	567.957613
34.052975	1447.590330	643.140177
34.478637	1575.437935	698.372752
34.904299	1488.368428	642.801459
35.329962	1383.882418	627.476115
35.755624	1417.892799	648.053624
36.181286	1271.350967	553.979558
36.606948	1326.367538	577.340391
37.032610	1131.990703	492.776010
37.458273	1217.180894	527.591365
37.883935	1383.878101	587.891273
38.309597	1212.838082	484.876694
38.735259	1323.048645	573.297921
39.160921	1275.794409	538.703226
39.586584	1214.553158	514.418405
40.012246	1182.055230	529.425595
40.437908	1171.266750	493.798462
40.863570	1203.004566	540.931241
41.289232	1211.874244	538.653871
41.714895	1189.248521	535.654954
42.140557	970.039116	432.062631
42.566219	959.598677	428.291352
42.991881	1090.645111	475.738434
43.417543	995.401582	465.252335
43.843205	952.057200	425.725653
44.268868	1093.838755	477.528553
44.694530	960.197035	412.515867
45.120192	1014.786857	438.576117
45.545854	928.866193	400.502173
45.971516	929.180728	396.779690
46.397179	909.710241	407.469119
46.822841	826.475248	365.260686
47.248503	855.038572	380.273046
47.674165	872.511593	390.742949
48.099827	838.607187	365.307303
48.525490	775.940656	348.079968
48.951152	752.751918	333.777589
49.376814	821.336761	343.561774
49.802476	715.334812	306.759186
50.228138	762.124268	326.396284
50.653800	696.464774	298.654927
51.079463	639.277946	275.372325
51.505125	816.911041	342.064044
51.930787	758.082192	313.587167
52.356449	804.417098	317.208299
52.782111	640.579808	282.925742
53.207774	695.848245	290.849360
53.633436	733.340471	302.297347
54.059098	702.241894	268.102576
54.484760	676.986914	300.346571
54.910422	751.456111	305.144590
55.336085	647.335148	247.628242
55.761747	693.945688	259.944176
56.187409	767.633566	293.817817
56.613071	700.548048	269.508969
57.038733	682.582285	268.831762
57.464396	695.708430	264.915035
57.890058	678.695119	252.834326
58.315720	655.807125	232.762247
58.741382	672.234842	266.633374
59.167044	574.570515	225.223537
59.592706	690.483937	270.573560
60.018369	664.439129	255.725194
60.444031	692.329832	274.545517
60.869693	603.456018	259.836954
61.295355	650.704427	252.222148
61.721017	602.990235	226.093082
62.146680	621.151824	240.751179
62.572342	572.195879	209.462916
62.998004	593.052582	202.536223
63.423666	613.897856	245.909976
63.849328	541.312120	200.055474
64.274991	710.198775	275.565428
64.700653	559.778592	232.486102
65.126315	529.751180	216.127630
65.551977	547.655000	220.505572
65.977639	503.589236	203.777862
66.403301	548.748350	204.573208
66.828964	449.264643	165.565117
67.254626	420.659311	168.093052
67.680288	482.704500	206.191810
68.105950	383.326597	150.685038
68.531612	512.731629	230.417436
68.957275	383.499617	143.910884
69.382937	406.376538	143.807870
69.808599	543.817858	216.816575
70.234261	384.078431	141.649091
70.659923	382.130054	145.955838
71.085586	521.415101	191.014261
71.511248	415.082471	170.421815
71.936910	377.622062	143.344884
72.362572	334.195400	134.264601
72.788234	299.196557	113.624046
73.213896	293.551163	113.011400
73.639559	281.236882	108.680440
74.065221	276.532518	111.158156
74.490883	325.295103	126.734239
74.916545	366.420043	134.058310
75.342207	352.628324	122.893032
75.767870	324.332376	120.524116
76.193532	285.484713	104.439198
76.619194	225.643533	85.084917
77.044856	240.519501	84.778031
77.470518	273.326864	100.615649
77.896181	216.420018	83.156564
78.321843	210.156324	72.834833
78.747505	230.967863	82.987174
79.173167	317.341690	122.058168
79.598829	259.883513	103.672196
80.024492	255.326292	108.114116
80.450154	320.002609	123.090501
80.875816	332.587027	126.645070
81.301478	285.908792	103.924192
81.727140	289.201501	98.974356
82.152802	378.405937	145.639054
82.578465	285.624266	110.030765
83.004127	286.851675	117.810994
83.429789	236.362248	100.723623
83.855451	233.290993	102.110780
84.281113	236.871210	112.213776
84.706776	221.519242	90.066891
85.132438	191.124338	79.021051
85.558100	182.722054	72.967461
85.983762	214.216458	87.843444
86.409424	291.084105	119.297419
86.835087	182.864995	70.665625
87.260749	191.250107	76.258969
87.686411	187.970787	78.303239
88.112073	198.388153	78.293931
88.537735	187.755071	76.737721
88.963397	149.956892	65.194877
89.389060	154.318813	69.736348
89.814722	145.935345	60.855171
90.240384	156.242754	73.638220
90.666046	137.061130	56.034442
91.091708	146.735030	60.590924
91.517371	180.863168	69.714474
91.943033	134.590111	58.608579
92.368695	116.271159	51.923803
92.794357	131.766432	50.142177
93.220019	110.910675	47.836073
93.645682	74.193202	35.157507
94.071344	91.499291	44.522767
94.497006	76.465248	33.465223
94.922668	79.862531	35.867517
95.348330	58.967474	28.021651
95.773993	66.355613	31.072565
96.199655	108.665256	59.109195
96.625317	119.683473	58.298886
97.050979	71.541087	31.958783
97.476641	68.784202	33.190845
97.902303	72.377702	37.124609
98.327966	52.460251	24.206379
98.753628	67.239942	31.097891
99.179290	81.637055	34.665073
99.604952	36.815634	17.553980
100.030614	55.358631	25.220503
100.456277	46.314767	21.985948
100.881939	67.994712	34.946037
101.307601	36.735640	18.487714
101.733263	52.270278	26.575062
102.158925	45.517685	21.034733
102.584588	29.294841	15.341053
103.010250	51.964166	25.427325
103.435912	64.172828	29.738166
103.861574	51.889114	26.435381
104.287236	57.828730	26.732389
104.712898	73.032274	32.633438
105.138561	67.277811	31.523921
105.564223	72.012584	30.114219
105.989885	66.807290	26.661078
106.415547	61.480083	29.272057
106.841209	60.599246	26.764413
107.266872	44.443429	21.718110
107.692534	58.744947	28.672971
108.118196	58.938259	34.933389
108.543858	96.388973	54.291517
108.969520	82.911741	47.419161
109.395183	61.236828	29.221611
109.820845	79.044712	48.870447
110.246507	52.421087	31.361323
110.672169	54.955508	32.414283
111.097831	49.865375	30.405783
111.523493	47.826914	31.574753
111.949156	32.032159	17.277929
112.374818	27.336524	10.235557
112.800480	25.115838	12.810551
113.226142	38.868902	13.396453
113.651804	35.950194	14.814032
114.077467	25.445337	8.265750
114.503129	25.981560	8.353895
114.928791	20.530917	6.500483
115.354453	21.980419	7.827290
115.780115	16.495340	5.679230
116.205778	26.053380	10.410181
116.631440	26.201863	8.021982
117.057102	22.603342	10.038508
117.482764	28.935787	9.470027
117.908426	10.755266	4.405854
118.334089	24.653401	9.820024
118.759751	20.556137	8.785077
119.185413	14.678238	7.309873
119.611075	16.837307	7.342440
120.036737	23.169249	13.419773
120.462399	20.505476	9.580522
120.888062	18.900299	8.631074
121.313724	54.162089	27.850999
121.739386	26.632049	12.827206
122.165048	20.793884	9.615889
122.590710	14.261295	6.536797
123.016373	17.773771	8.146572
123.442035	20.545850	9.469055
123.867697	33.374582	20.257999
124.293359	27.315523	16.913912
124.719021	27.691486	15.594309
125.144684	28.802071	9.652494
125.570346	25.632501	13.393423
125.996008	11.984044	5.333108
126.421670	16.581645	8.044522
126.847332	34.604974	17.785032
127.272994	40.664638	15.570661
127.698657	23.655939	11.126856
128.124319	21.619366	7.362531
128.549981	24.309375	9.604751
128.975643	19.767887	10.238744
129.401305	8.046215	1.647195
129.826968	17.708059	4.757151
130.252630	9.011820	1.979074
130.678292	5.843701	1.400460
131.103954	6.192683	1.356005
131.529616	7.739589	1.860337
131.955279	10.482040	2.451355
132.380941	37.152570	10.191784
132.806603	17.863742	4.975267
133.232265	7.053805	1.719654
133.657927	6.189814	1.137286
134.083590	9.884842	2.467649
134.509252	8.804248	1.957181
134.934914	5.714988	1.368562
135.360576	2.704376	0.360289
135.786238	3.786856	0.509593
136.211900	0.196552	0.025407
136.637563	7.929800	1.070830
137.063225	15.384372	2.167733
137.488887	6.564806	0.918565
137.914549	6.522692	0.894334
138.340211	5.921649	0.819701
138.765874	0.241584	0.030900
139.191536	6.956260	0.932030
139.617198	0.696687	0.099537
140.042860	9.421527	1.198174
140.468522	8.025951	0.991521
140.894185	4.519816	0.614328
141.319847	8.393105	1.060308
141.745509	11.140214	1.425348
142.171171	4.008981	0.512828
142.596833	5.212414	0.707421
143.022495	0.047796	0.005628
143.448158	2.907878	0.374495
143.873820	4.701589	0.633718
144.299482	1.044847	0.126875
144.725144	3.746997	0.476404
145.150806	2.479472	0.332472
145.576469	3.125842	0.366825
146.002131	2.289885	0.292695
146.427793	12.098523	1.451589
146.853455	1.924349	0.268608
147.279117	0.000000	0.000000
147.704780	0.888171	0.123409
148.130442	1.197978	0.165717
148.556104	0.894271	0.123297
148.981766	1.075668	0.148468
149.407428	0.850663	0.117331
149.833090	0.000000	0.000000
150.258753	0.075902	0.010447
150.684415	0.000000	0.000000
151.110077	0.000000	0.000000
151.535739	0.000000	0.000000
151.961401	0.000000	0.000000
152.387064	0.000000	0.000000
152.812726	0.000000	0.000000
153.238388	0.000000	0.000000
153.664050	0.000000	0.000000
154.089712	0.000000	0.000000
154.515375	0.000000	0.000000
154.941037	0.000000	0.000000
155.366699	0.000000	0.000000
155.792361	0.000000	0.000000
156.218023	0.000000	0.000000
156.643686	0.000000	0.000000
157.069348	0.000000	0.000000
157.495010	0.000000	0.000000
157.920672	0.000000	0.000000
158.346334	0.000000	0.000000
158.771996	0.000000	0.000000
159.197659	0.000000	0.000000
159.623321	0.000000	0.000000
160.048983	0.000000	0.000000
160.474645	0.000000	0.000000
160.900307	0.000000	0.000000
161.325970	0.000000	0.000000
161.751632	0.000000	0.000000
162.177294	0.000000	0.000000
162.602956	0.000000	0.000000
163.028618	0.000000	0.000000
163.454281	0.000000	0.000000
163.879943	0.000000	0.000000
164.305605	0.000000	0.000000
164.731267	0.000000	0.000000
165.156929	0.000000	0.000000
165.582591	0.000000	0.000000
166.008254	0.000000	0.000000
166.433916	0.000000	0.000000
166.859578	0.000000	0.000000
167.285240	0.000000	0.000000
167.710902	0.000000	0.000000
168.136565	0.000000	0.000000
168.562227	0.000000	0.000000
168.987889	0.000000	0.000000
169.413551	0.000000	0.000000
169.839213	0.000000	0.000000
170.264876	0.000000	0.000000
170.690538	0.000000	0.000000
171.116200	0.000000	0.000000
171.541862	0.000000	0.000000
171.967524	0.000000	0.000000
172.393187	0.000000	0.000000
172.818849	0.000000	0.000000
173.244511	0.000000	0.000000
173.670173	0.000000	0.000000
174.095835	0.000000	0.000000
174.521497	0.000000	0.000000
174.947160	0.000000	0.000000
175.372822	0.000000	0.000000
175.798484	0.000000	0.000000
176.224146	0.000000	0.000000
176.649808	0.000000	0.000000
177.075471	0.000000	0.000000
177.501133	0.000000	0.000000
177.926795	0.000000	0.000000
178.352457	0.000000	0.000000
178.778119	0.000000	0.000000
179.203782	0.000000	0.000000
179.629444	0.000000	0.000000
180.055106	0.000000	0.000000
180.480768	0.000000	0.000000
180.906430	0.000000	0.000000
181.332092	0.000000	0.000000
181.757755	0.000000	0.000000
182.183417	0.000000	0.000000
182.609079	0.000000	0.000000
183.034741	0.000000	0.000000
183.460403	0.000000	0.000000
