tth,Iobs,Icalc,Ibkg, refpos, ref-phase, ref-hkl
21.8086643,95,104.765121,104.717735,18.7728786,eta,110
21.9887447,96,105.640221,105.594635,24.5426731,eta,101
22.108799,97,106.224625,106.180199,25.2668362,eta,11
22.128809,97,106.322136,106.277916,25.2777786,eta,200
22.2688713,98,107.024818,106.962387,27.9986629,eta,20
22.3289013,98,107.349838,107.256004,28.3103371,eta,111
22.4289436,99,119.264534,107.745789,28.956459,eta,210
22.629034,100,108.766037,108.726746,30.7932072,eta,120
23.0092049,103,110.630783,110.5952,36.0427742,eta,211
23.1292572,104,111.220856,111.186447,37.5698395,eta,121
23.1692772,104,111.417633,111.383568,38.0747566,eta,220
23.509428,106,113.103287,113.061378,40.9485741,eta,310
23.7695465,107,117.270195,114.346252,42.7467957,eta,2
23.8895988,108,115.028969,114.939819,43.8796883,eta,221
23.9496269,108,115.263191,115.236641,44.0981598,eta,301
24.0296631,109,115.658333,115.632545,44.5434456,eta,130
24.2897797,111,116.942825,116.91954,46.4578285,eta,311
24.3898239,111,117.458183,117.414597,47.0654755,eta,112
24.5298882,112,124.287804,118.107887,47.9138756,eta,31
24.5899143,113,124.658714,118.405113,48.1242867,eta,320
24.8500309,115,119.754341,119.692497,49.7361145,eta,131
24.910059,116,120.214539,119.989555,50.1406631,eta,230
24.9900951,117,142.154556,120.38559,50.3118515,eta,202
21.7086182,94,104.279823,104.231453,14.3770971,epsilon,100
21.8686905,95,105.056534,105.009789,19.8597374,epsilon,101
22.0687809,96,106.029808,105.984985,25.0352688,epsilon,110
22.2488632,98,106.907539,106.864487,27.4543648,epsilon,2
22.3689156,99,107.643501,107.451851,28.610878,epsilon,111
22.4489517,99,108.649765,107.843849,28.9869671,epsilon,200
22.6490421,100,108.864029,108.824921,31.1228714,epsilon,102
22.7490864,101,109.354218,109.316086,32.1589699,epsilon,201
23.1092529,103,111.122513,111.087898,37.4931793,epsilon,112
23.2493114,104,111.815361,111.777977,38.66819,epsilon,210
23.4894238,106,113.011139,112.962662,40.3495865,epsilon,202
23.549448,106,113.295013,113.259018,41.1819839,epsilon,211
23.9696369,109,115.361992,115.335663,44.098671,epsilon,300
24.0096531,109,115.55954,115.533592,44.3335419,epsilon,103
24.2697697,111,116.843925,116.82045,46.3709183,epsilon,301
