# C:\WinTA100\DIL805.PRO\Data\Quenching\1_fofo_Q&P_PT170-QT300-15min_heating50oCs-1_11.13.15.PAR
#                Time - Temperature  /  Change in Length  /  Nominal Temperature 
#                  s                °C                    µm                    °C
     0         0.00000000       33.36678696        0.00000000        0.00000000
     1         0.05022600       33.39487076       -0.31520844        0.49032000
     2         0.10034600       33.40783691       -0.31255913        0.99151999
     3         0.15144800       33.42419434       -0.37348175        1.50240004
     4         0.20167200       33.30781555       -0.28607178        2.00477004
     5         0.25184500       33.43376923       -0.27017784        2.50642991
     6         0.30202800       33.41620255       -0.15363121        3.00823975
     7         0.35215199       33.37975693       -0.10330391        3.50964999
     8         0.40230399       33.45383453       -0.09800720        4.01098013
     9         0.45243600       33.40445328       -0.11654854        4.51243019
    10         0.50264102       33.50445557       -0.16422653        5.01445007
    11         0.55277300       33.66549683       -0.20395851        5.51572990
    12         0.60291302       33.44918823       -0.23574448        6.01718998
    13         0.65303600       33.43500900       -0.30196381        6.51829004
    14         0.70314997       33.56092834       -0.31520844        7.01951027
    15         0.75330400       33.61615753       -0.34434509        7.52121973
    16         0.80344200       33.57265472       -0.28872108        8.02243042
    17         0.85359800       33.56676483       -0.30196381        8.52394009
    18         0.90373898       33.47852707       -0.23839378        9.02549934
    19         0.95390499       33.61492157       -0.13508987        9.52717018
    20         1.00409806       33.63621902       -0.10860062       10.02907944
    21         1.05433297       33.52328110       -0.10860062       10.53141975
    22         1.10449505       33.44797134       -0.10065460       11.03285980
    23         1.15470195       33.60906219       -0.15628052       11.53509045
    24         1.20480502       33.56216812       -0.23574448       12.03614044
    25         1.25494695       33.40320969       -0.23839378       12.53754997
    26         1.30508494       33.62788391       -0.34699440       13.03889084
    27         1.35521102       33.50445557       -0.32845306       13.54022980
    28         1.40536904       33.89716339       -0.32050705       14.04166031
    29         1.45553899       33.68434525       -0.26753044       14.54351997
    30         1.50573695       33.60322189       -0.25958443       15.04553986
    31         1.55586302       33.47269058       -0.12449455       15.54666042
